Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Recharge & bill payments,5383505,1662189124,4,2020,assam
Merchant payments,2392184,2466913306,4,2020,assam
Financial Services,29764,32314809.98,4,2020,assam
Others,79523,51901628.47,4,2020,assam
Peer-to-peer payments,9449096,45476079487,1,2021,assam
Recharge & bill payments,6494111,2103017762,1,2021,assam
Merchant payments,3459132,3657261586,1,2021,assam
Financial Services,34049,41291047.38,1,2021,assam
Others,75672,48814663.89,1,2021,assam
Peer-to-peer payments,11668399,51521387891,2,2021,assam
Recharge & bill payments,9058005,2657676415,2,2021,assam
Merchant payments,4562669,4914753140,2,2021,assam
Financial Services,49671,46106001.5,2,2021,assam
Others,94161,52549929.27,2,2021,assam
Peer-to-peer payments,15617592,64131823895,3,2021,assam
Recharge & bill payments,10284267,3248364164,3,2021,assam
Merchant payments,7431371,8208706348,3,2021,assam
Financial Services,39479,43889820.5,3,2021,assam
Others,131732,67715045.34,3,2021,assam
Peer-to-peer payments,21393962,86801625127,4,2021,assam
Merchant payments,12895755,13378765006,4,2021,assam
Recharge & bill payments,11484376,3842004488,4,2021,assam
Financial Services,60724,65456475.83,4,2021,assam
Others,185544,97116796.58,4,2021,assam
Peer-to-peer payments,27156085,1.08855E+11,1,2022,assam
Merchant payments,19011883,18833132506,1,2022,assam
Recharge & bill payments,12474674,4424035840,1,2022,assam
Financial Services,68432,73257991.39,1,2022,assam
Others,178812,94659207.47,1,2022,assam
Peer-to-peer payments,33879530,1.2383E+11,2,2022,assam
Merchant payments,28377534,24333260090,2,2022,assam
Recharge & bill payments,13858113,4814695680,2,2022,assam
Financial Services,50785,55549153.74,2,2022,assam
Others,168763,77624058.02,2,2022,assam
Peer-to-peer payments,37000266,1.27265E+11,3,2022,assam
Merchant payments,34935460,28789992307,3,2022,assam
Recharge & bill payments,13974568,5295136932,3,2022,assam
Financial Services,65066,62882386.46,3,2022,assam
Others,138451,76363577.27,3,2022,assam
Peer-to-peer payments,44828832,1.50693E+11,4,2022,assam
Merchant payments,43605784,36033810142,4,2022,assam
Recharge & bill payments,15344794,5773980885,4,2022,assam
Financial Services,74414,75960367.92,4,2022,assam
Others,127443,76370123.6,4,2022,assam
Recharge & bill payments,3159922,375559206.8,1,2018,bihar
Peer-to-peer payments,2052089,5295346761,1,2018,bihar
Financial Services,194295,33999413.88,1,2018,bihar
Merchant payments,138885,139827755.7,1,2018,bihar
Others,279111,201025034.2,1,2018,bihar
Recharge & bill payments,4346849,700649777.1,2,2018,bihar
Peer-to-peer payments,3447898,12141448845,2,2018,bihar
Merchant payments,311487,318571872.8,2,2018,bihar
Financial Services,267433,45332532.1,2,2018,bihar
Others,258711,300128082.6,2,2018,bihar
Peer-to-peer payments,8893764,18695889188,3,2018,bihar
Recharge & bill payments,4401439,804061398.5,3,2018,bihar
Merchant payments,586862,367608510.7,3,2018,bihar
Financial Services,274510,33276460.45,3,2018,bihar
Others,211229,234968821.3,3,2018,bihar
Peer-to-peer payments,8094296,26224303883,4,2018,bihar
Recharge & bill payments,5469096,986310785,4,2018,bihar
Merchant payments,1680664,848968693.1,4,2018,bihar
Financial Services,237247,36199427.51,4,2018,bihar
Others,251098,302214380.2,4,2018,bihar
Peer-to-peer payments,16807040,38824078062,1,2019,bihar
Recharge & bill payments,7036367,1333688183,1,2019,bihar
Merchant payments,2055267,1024997000,1,2019,bihar
Financial Services,204689,28599535.73,1,2019,bihar
Others,252871,291464734.4,1,2019,bihar
Peer-to-peer payments,15837449,58381285241,2,2019,bihar
Recharge & bill payments,9279442,1996804238,2,2019,bihar
Merchant payments,4365465,2308145850,2,2019,bihar
Financial Services,129603,63338108.54,2,2019,bihar
Others,348520,382864846.1,2,2019,bihar
Peer-to-peer payments,15446119,61831776093,3,2019,bihar
Recharge & bill payments,9115040,2140566975,3,2019,bihar
Merchant payments,7206001,3413490288,3,2019,bihar
Financial Services,89997,20145460.43,3,2019,bihar
Others,282743,286804437.7,3,2019,bihar
Peer-to-peer payments,26337842,86340631422,4,2019,bihar
Recharge & bill payments,11358597,2649616530,4,2019,bihar
Merchant payments,5519582,4177574379,4,2019,bihar
Financial Services,100192,18815964.76,4,2019,bihar
Others,214101,126788281.9,4,2019,bihar
Peer-to-peer payments,23163922,99873688133,1,2020,bihar
Recharge & bill payments,13837430,3680590625,1,2020,bihar
Merchant payments,7822567,5562692117,1,2020,bihar
Financial Services,57233,23954789.41,1,2020,bihar
Others,200663,115927863.5,1,2020,bihar
Peer-to-peer payments,26572651,1.16244E+11,2,2020,bihar
Recharge & bill payments,19522564,5642294772,2,2020,bihar
Merchant payments,7011681,6760404422,2,2020,bihar
Financial Services,73119,54077813.26,2,2020,bihar
Others,206727,105377680.2,2,2020,bihar
Peer-to-peer payments,37294332,1.53665E+11,3,2020,bihar
Recharge & bill payments,19027978,6313780617,3,2020,bihar
Merchant payments,14777337,13111735855,3,2020,bihar
Financial Services,104135,81355476.16,3,2020,bihar
Others,299966,157309412.5,3,2020,bihar
Peer-to-peer payments,49432098,2.08485E+11,4,2020,bihar
Merchant payments,26750991,23185594534,4,2020,bihar
Recharge & bill payments,19908687,6926960997,4,2020,bihar
Financial Services,119416,100785736,4,2020,bihar
Others,380481,207713978,4,2020,bihar
Peer-to-peer payments,58566582,2.42013E+11,1,2021,bihar
Merchant payments,33959313,30171144593,1,2021,bihar
Recharge & bill payments,21974086,8505455545,1,2021,bihar
Financial Services,124277,112949858.3,1,2021,bihar
Others,308219,170787342.8,1,2021,bihar
