Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Others,11241480,6711034131,2,2022,india
Merchant payments,5618132071,3.15161E+12,3,2022,india
Peer-to-peer payments,3957113406,1.28378E+13,3,2022,india
Recharge & bill payments,956164949,6.07049E+11,3,2022,india
Financial Services,3959631,4514223164,3,2022,india
Others,10005043,6725900103,3,2022,india
Merchant payments,6565690145,3.6736E+12,4,2022,india
Peer-to-peer payments,4459859921,1.45789E+13,4,2022,india
Recharge & bill payments,991049281,6.49777E+11,4,2022,india
Financial Services,4623387,5360528394,4,2022,india
Others,10013085,7361492607,4,2022,india
Recharge & bill payments,457813,78812610.35,1,2018,jammu-&-kashmir
Peer-to-peer payments,353621,861670157.9,1,2018,jammu-&-kashmir
Financial Services,65683,10269382.62,1,2018,jammu-&-kashmir
Merchant payments,28696,30967525.64,1,2018,jammu-&-kashmir
Others,35755,23651562.72,1,2018,jammu-&-kashmir
Recharge & bill payments,794502,166762242.9,2,2018,jammu-&-kashmir
Peer-to-peer payments,771844,2372961688,2,2018,jammu-&-kashmir
Financial Services,112422,15636116.81,2,2018,jammu-&-kashmir
Merchant payments,79248,64454257.53,2,2018,jammu-&-kashmir
Others,38310,31391931.69,2,2018,jammu-&-kashmir
Peer-to-peer payments,1260453,3616022746,3,2018,jammu-&-kashmir
Recharge & bill payments,822143,203079955.3,3,2018,jammu-&-kashmir
Merchant payments,140076,82826475.19,3,2018,jammu-&-kashmir
Financial Services,44464,6397888.355,3,2018,jammu-&-kashmir
Others,36825,26373935,3,2018,jammu-&-kashmir
Peer-to-peer payments,1265457,5151829745,4,2018,jammu-&-kashmir
Recharge & bill payments,970724,254473764,4,2018,jammu-&-kashmir
Merchant payments,402303,215771001.5,4,2018,jammu-&-kashmir
Financial Services,33775,6072177.152,4,2018,jammu-&-kashmir
Others,49051,36573577.74,4,2018,jammu-&-kashmir
Peer-to-peer payments,1913720,5414709532,1,2019,jammu-&-kashmir
Recharge & bill payments,1131953,302663112.9,1,2019,jammu-&-kashmir
Merchant payments,452379,199219534.9,1,2019,jammu-&-kashmir
Financial Services,43247,4593545.202,1,2019,jammu-&-kashmir
Others,43688,30649751.66,1,2019,jammu-&-kashmir
Peer-to-peer payments,1180781,5666318253,2,2019,jammu-&-kashmir
Recharge & bill payments,706569,215937468.9,2,2019,jammu-&-kashmir
Merchant payments,353678,188931529.5,2,2019,jammu-&-kashmir
Financial Services,22663,2652961.354,2,2019,jammu-&-kashmir
Others,32664,26301988.32,2,2019,jammu-&-kashmir
Peer-to-peer payments,618694,3499425218,3,2019,jammu-&-kashmir
Recharge & bill payments,318061,111964437,3,2019,jammu-&-kashmir
Merchant payments,165115,120736230.1,3,2019,jammu-&-kashmir
Financial Services,2895,658515.8825,3,2019,jammu-&-kashmir
Others,11761,11446090.82,3,2019,jammu-&-kashmir
Peer-to-peer payments,310620,1799955856,4,2019,jammu-&-kashmir
Merchant payments,91303,77859073.82,4,2019,jammu-&-kashmir
Recharge & bill payments,84803,49065907.05,4,2019,jammu-&-kashmir
Financial Services,197,213741.2862,4,2019,jammu-&-kashmir
Others,3005,2601419.696,4,2019,jammu-&-kashmir
Peer-to-peer payments,435154,2654638582,1,2020,jammu-&-kashmir
Recharge & bill payments,341357,144213068.7,1,2020,jammu-&-kashmir
Merchant payments,135241,131144419,1,2020,jammu-&-kashmir
Financial Services,2350,2116665.118,1,2020,jammu-&-kashmir
Others,7528,5530441.652,1,2020,jammu-&-kashmir
Peer-to-peer payments,1238380,7426818530,2,2020,jammu-&-kashmir
Recharge & bill payments,1028741,413037418.3,2,2020,jammu-&-kashmir
Merchant payments,341375,403026357.8,2,2020,jammu-&-kashmir
Financial Services,9130,10415041.34,2,2020,jammu-&-kashmir
Others,17380,12351591.57,2,2020,jammu-&-kashmir
Peer-to-peer payments,1787154,10837119047,3,2020,jammu-&-kashmir
Recharge & bill payments,1005745,443743222.5,3,2020,jammu-&-kashmir
Merchant payments,642688,667957476.4,3,2020,jammu-&-kashmir
Financial Services,10111,13281733.8,3,2020,jammu-&-kashmir
Others,20200,15128281.34,3,2020,jammu-&-kashmir
Peer-to-peer payments,2378539,13736841260,4,2020,jammu-&-kashmir
Recharge & bill payments,1900075,536741118.3,4,2020,jammu-&-kashmir
Merchant payments,1377786,1045006123,4,2020,jammu-&-kashmir
Financial Services,13578,17966592.7,4,2020,jammu-&-kashmir
Others,84466,44350708.94,4,2020,jammu-&-kashmir
Peer-to-peer payments,2800201,14801220301,1,2021,jammu-&-kashmir
Recharge & bill payments,2554798,663747765.7,1,2021,jammu-&-kashmir
Merchant payments,1527253,1605408313,1,2021,jammu-&-kashmir
Financial Services,17276,20848657.86,1,2021,jammu-&-kashmir
Others,98042,47124854.99,1,2021,jammu-&-kashmir
Peer-to-peer payments,3955437,19502438178,2,2021,jammu-&-kashmir
Recharge & bill payments,3568970,892467613.6,2,2021,jammu-&-kashmir
Merchant payments,2378307,2343370986,2,2021,jammu-&-kashmir
Financial Services,19432,21897796.19,2,2021,jammu-&-kashmir
Others,105673,53580855.46,2,2021,jammu-&-kashmir
Peer-to-peer payments,5621108,26562997915,3,2021,jammu-&-kashmir
Recharge & bill payments,4192099,1126801385,3,2021,jammu-&-kashmir
Merchant payments,3197489,3818849263,3,2021,jammu-&-kashmir
Financial Services,16071,27585395.49,3,2021,jammu-&-kashmir
Others,124274,62209689.34,3,2021,jammu-&-kashmir
Peer-to-peer payments,6852001,31444247708,4,2021,jammu-&-kashmir
Merchant payments,5399465,6026170896,4,2021,jammu-&-kashmir
Recharge & bill payments,4358892,1334473410,4,2021,jammu-&-kashmir
Financial Services,20269,34425387.52,4,2021,jammu-&-kashmir
Others,160001,86920024.6,4,2021,jammu-&-kashmir
Peer-to-peer payments,6263588,25881919929,1,2022,jammu-&-kashmir
Merchant payments,5769426,5903944370,1,2022,jammu-&-kashmir
Recharge & bill payments,4046350,1253753686,1,2022,jammu-&-kashmir
Financial Services,20506,28915576.12,1,2022,jammu-&-kashmir
Others,145441,79330065.64,1,2022,jammu-&-kashmir
Merchant payments,9917899,8541811640,2,2022,jammu-&-kashmir
Peer-to-peer payments,8948548,35973490941,2,2022,jammu-&-kashmir
Recharge & bill payments,4759941,1631580784,2,2022,jammu-&-kashmir
Financial Services,17495,23857762.1,2,2022,jammu-&-kashmir
Others,169864,83549709.69,2,2022,jammu-&-kashmir
Merchant payments,9594459,8056512905,3,2022,jammu-&-kashmir
Peer-to-peer payments,8391981,31280124358,3,2022,jammu-&-kashmir
Recharge & bill payments,4397779,1538833024,3,2022,jammu-&-kashmir
Financial Services,16502,21281997.61,3,2022,jammu-&-kashmir
Others,133673,66802218.33,3,2022,jammu-&-kashmir
Merchant payments,13060020,9463119177,4,2022,jammu-&-kashmir
Peer-to-peer payments,9209773,33017162450,4,2022,jammu-&-kashmir
Recharge & bill payments,4885856,1738113554,4,2022,jammu-&-kashmir
Financial Services,17803,26804683.93,4,2022,jammu-&-kashmir
Others,142706,70096050.9,4,2022,jammu-&-kashmir
Recharge & bill payments,1095857,132181815.3,1,2018,jharkhand
Peer-to-peer payments,809459,2036315436,1,2018,jharkhand
Financial Services,107755,45483178.1,1,2018,jharkhand
Merchant payments,66299,66465337.51,1,2018,jharkhand
Others,99551,93740623.36,1,2018,jharkhand
Recharge & bill payments,1398777,208894647.8,2,2018,jharkhand
Peer-to-peer payments,1375872,4205862517,2,2018,jharkhand
Financial Services,160637,65554548.25,2,2018,jharkhand
Merchant payments,130339,138889079.2,2,2018,jharkhand
Others,86455,102374867.1,2,2018,jharkhand
Peer-to-peer payments,6003688,8142915751,3,2018,jharkhand
Recharge & bill payments,1539476,256930062.2,3,2018,jharkhand
Merchant payments,287427,155059935,3,2018,jharkhand
Financial Services,216343,38182603.58,3,2018,jharkhand
Others,75687,68483065.68,3,2018,jharkhand
Peer-to-peer payments,3325473,9414019817,4,2018,jharkhand
Recharge & bill payments,1885135,328077093.5,4,2018,jharkhand
Merchant payments,845956,373435992.5,4,2018,jharkhand
Financial Services,136918,36357465.52,4,2018,jharkhand
Others,90561,90026272.84,4,2018,jharkhand
Peer-to-peer payments,5952105,12664709652,1,2019,jharkhand
Recharge & bill payments,2347079,440323945.1,1,2019,jharkhand
Merchant payments,892826,391616776.1,1,2019,jharkhand
Financial Services,105558,47227410.81,1,2019,jharkhand
Others,90140,83358664.95,1,2019,jharkhand
Peer-to-peer payments,5155937,17044444614,2,2019,jharkhand
Recharge & bill payments,2734377,562210324.8,2,2019,jharkhand
Merchant payments,2049311,862186711.5,2,2019,jharkhand
Financial Services,67479,51588987.16,2,2019,jharkhand
Others,121107,102270668.2,2,2019,jharkhand
Peer-to-peer payments,5708187,19050145624,3,2019,jharkhand
Merchant payments,4766457,1494546031,3,2019,jharkhand
Recharge & bill payments,3527625,754845093.6,3,2019,jharkhand
Financial Services,103620,80276391.65,3,2019,jharkhand
Others,114758,86160853.19,3,2019,jharkhand
Peer-to-peer payments,10301226,25360155657,4,2019,jharkhand
Recharge & bill payments,4390094,966539484.6,4,2019,jharkhand
Merchant payments,3359590,1725990596,4,2019,jharkhand
Financial Services,104630,45850806.13,4,2019,jharkhand
Others,93078,49211833.16,4,2019,jharkhand
Peer-to-peer payments,8196850,29875044416,1,2020,jharkhand
Recharge & bill payments,5454093,1358517297,1,2020,jharkhand
Merchant payments,4499942,2298726415,1,2020,jharkhand
Financial Services,46483,31523887.51,1,2020,jharkhand
Others,85345,47420137.75,1,2020,jharkhand
Peer-to-peer payments,8724053,32662370317,2,2020,jharkhand
Recharge & bill payments,7538593,1987320467,2,2020,jharkhand
Merchant payments,3753633,2662438204,2,2020,jharkhand
Financial Services,56553,130249402,2,2020,jharkhand
Others,68679,43823586.28,2,2020,jharkhand
Peer-to-peer payments,11984094,43128110246,3,2020,jharkhand
Merchant payments,7728846,5163578368,3,2020,jharkhand
Recharge & bill payments,7211293,2217657035,3,2020,jharkhand
Financial Services,56918,63233533.19,3,2020,jharkhand
Others,87322,50036637.65,3,2020,jharkhand
Peer-to-peer payments,17120664,60733288288,4,2020,jharkhand
Merchant payments,14168381,9347677564,4,2020,jharkhand
Recharge & bill payments,7945996,2582828439,4,2020,jharkhand
Financial Services,60989,63947540,4,2020,jharkhand
Others,135603,77432999.36,4,2020,jharkhand
Peer-to-peer payments,19151083,69198235577,1,2021,jharkhand
Merchant payments,17489113,11545580927,1,2021,jharkhand
Recharge & bill payments,7826608,2888409672,1,2021,jharkhand
Financial Services,50526,54836609.33,1,2021,jharkhand
Others,104333,62290337.7,1,2021,jharkhand
Peer-to-peer payments,24184568,86037113965,2,2021,jharkhand
Merchant payments,19041292,14731458451,2,2021,jharkhand
Recharge & bill payments,10583445,3531023352,2,2021,jharkhand
Financial Services,54379,57959229.95,2,2021,jharkhand
Others,138461,75088312.27,2,2021,jharkhand
Peer-to-peer payments,30113326,97742557032,3,2021,jharkhand
Merchant payments,29687162,19954619973,3,2021,jharkhand
Recharge & bill payments,10742405,4029136912,3,2021,jharkhand
Financial Services,51289,65035270.31,3,2021,jharkhand
Others,201520,99665931.84,3,2021,jharkhand
Merchant payments,45007900,30397134744,4,2021,jharkhand
Peer-to-peer payments,39476282,1.30462E+11,4,2021,jharkhand
Recharge & bill payments,11173974,4920513758,4,2021,jharkhand
Financial Services,72802,82938673.41,4,2021,jharkhand
Others,278084,154856720.6,4,2021,jharkhand
Merchant payments,53218047,35404682303,1,2022,jharkhand
Peer-to-peer payments,45881799,1.53327E+11,1,2022,jharkhand
Recharge & bill payments,11502811,5765898872,1,2022,jharkhand
Financial Services,67502,72095750.38,1,2022,jharkhand
Others,241051,130193505.4,1,2022,jharkhand
Merchant payments,67435024,44149892984,2,2022,jharkhand
Peer-to-peer payments,52086790,1.75209E+11,2,2022,jharkhand
Recharge & bill payments,13145888,6119623547,2,2022,jharkhand
Financial Services,50361,53281830.62,2,2022,jharkhand
Others,207212,104530269,2,2022,jharkhand
Merchant payments,74816586,45850919744,3,2022,jharkhand
Peer-to-peer payments,57285937,1.76549E+11,3,2022,jharkhand
Recharge & bill payments,14462031,6838978157,3,2022,jharkhand
Financial Services,68467,69016067.83,3,2022,jharkhand
Others,182311,104503812.7,3,2022,jharkhand
Merchant payments,91863987,57173653532,4,2022,jharkhand
Peer-to-peer payments,68045210,2.12954E+11,4,2022,jharkhand
Recharge & bill payments,15110623,7625380765,4,2022,jharkhand
Financial Services,81074,89276259.67,4,2022,jharkhand
Others,199198,129776494.9,4,2022,jharkhand
Recharge & bill payments,5785292,1496816542,1,2018,karnataka
Peer-to-peer payments,4456528,16522277460,1,2018,karnataka
Merchant payments,1089627,696586489.3,1,2018,karnataka
Financial Services,159848,52664837.41,1,2018,karnataka
Others,525604,449549985.2,1,2018,karnataka
Recharge & bill payments,7391926,2435924808,2,2018,karnataka
Peer-to-peer payments,7164836,29135024501,2,2018,karnataka
Merchant payments,1874383,1361967205,2,2018,karnataka
Financial Services,194363,93244737.61,2,2018,karnataka
Others,490939,489418829.4,2,2018,karnataka
Peer-to-peer payments,12863507,42819128165,3,2018,karnataka
Recharge & bill payments,8674172,3019156590,3,2018,karnataka
Merchant payments,3638065,1879406581,3,2018,karnataka
Financial Services,205740,50726023.4,3,2018,karnataka
Others,598777,456674396.3,3,2018,karnataka
Peer-to-peer payments,20471744,63575342228,4,2018,karnataka
Merchant payments,11812478,4751317555,4,2018,karnataka
Recharge & bill payments,11426205,4030978295,4,2018,karnataka
Financial Services,289353,71134704.79,4,2018,karnataka
Others,812291,579613793.3,4,2018,karnataka
Peer-to-peer payments,44049036,1.04118E+11,1,2019,karnataka
Merchant payments,24491960,7076613844,1,2019,karnataka
Recharge & bill payments,16981941,6217689430,1,2019,karnataka
Financial Services,293728,51023386.15,1,2019,karnataka
Others,770944,512618725.8,1,2019,karnataka
Peer-to-peer payments,50033334,1.42911E+11,2,2019,karnataka
Merchant payments,44848593,12338599109,2,2019,karnataka
Recharge & bill payments,19283028,7745156563,2,2019,karnataka
Financial Services,140353,44871623.83,2,2019,karnataka
Others,1096296,662690676.7,2,2019,karnataka
Merchant payments,76924325,20375791902,3,2019,karnataka
Peer-to-peer payments,67784880,1.83163E+11,3,2019,karnataka
Recharge & bill payments,24339891,10208179942,3,2019,karnataka
Financial Services,189716,57194690.69,3,2019,karnataka
Others,1494923,732228821.1,3,2019,karnataka
Merchant payments,114044901,31602890836,4,2019,karnataka
Peer-to-peer payments,93311589,2.50563E+11,4,2019,karnataka
Recharge & bill payments,28862161,12183568521,4,2019,karnataka
Financial Services,101937,51145982.18,4,2019,karnataka
Others,1475664,646673755.4,4,2019,karnataka
Merchant payments,132970737,40374401934,1,2020,karnataka
Peer-to-peer payments,100868460,2.97635E+11,1,2020,karnataka
Recharge & bill payments,35854971,14724886028,1,2020,karnataka
Financial Services,93648,110130184.7,1,2020,karnataka
Others,1246074,557335296.8,1,2020,karnataka
Merchant payments,87251639,38463881234,2,2020,karnataka
Peer-to-peer payments,82118363,2.65767E+11,2,2020,karnataka
Recharge & bill payments,43290272,16434890228,2,2020,karnataka
Financial Services,161560,246367207.1,2,2020,karnataka
Others,399878,192530880.2,2,2020,karnataka
Merchant payments,137206600,60769881812,3,2020,karnataka
Peer-to-peer payments,119241776,3.90432E+11,3,2020,karnataka
Recharge & bill payments,43139631,18911088811,3,2020,karnataka
Financial Services,251980,358426106,3,2020,karnataka
Others,520544,268744139.7,3,2020,karnataka
Merchant payments,215711211,97147239183,4,2020,karnataka
Peer-to-peer payments,166981242,5.38341E+11,4,2020,karnataka
Recharge & bill payments,47736461,21611671359,4,2020,karnataka
Financial Services,284700,427966918.9,4,2020,karnataka
Others,823370,508863332.4,4,2020,karnataka
Merchant payments,279599017,1.1796E+11,1,2021,karnataka
Peer-to-peer payments,190894164,6.10937E+11,1,2021,karnataka
Recharge & bill payments,52261651,25111731676,1,2021,karnataka
Financial Services,297710,475815041.8,1,2021,karnataka
Others,744950,511117233.2,1,2021,karnataka
Merchant payments,244460862,1.24624E+11,2,2021,karnataka
Peer-to-peer payments,216539959,6.84036E+11,2,2021,karnataka
Recharge & bill payments,68599238,28272314719,2,2021,karnataka
Financial Services,304779,456933674,2,2021,karnataka
Others,744208,497736717.5,2,2021,karnataka
Merchant payments,391381353,1.90563E+11,3,2021,karnataka
Peer-to-peer payments,288462867,9.08139E+11,3,2021,karnataka
Recharge & bill payments,72168311,33386709061,3,2021,karnataka
Financial Services,286685,508051800.9,3,2021,karnataka
Others,997323,637927036.9,3,2021,karnataka
